popularity,is_collaboration,num_artists,track_name_length,release_year,release_month,release_day_of_week,is_explicit,artist_popularity,artist_followers
70,1,4,7,2009.0,5.0,4.0,1,95,103251589
70,0,1,17,2024.0,11.0,4.0,1,89,44682383
70,0,1,5,2017.0,8.0,4.0,1,85,14990942
70,0,1,7,2011.0,10.0,0.0,1,82,17353539
70,0,1,13,2014.0,10.0,1.0,1,89,22723977
70,0,1,8,2025.0,7.0,0.0,1,87,24492412
70,1,3,13,2024.0,4.0,4.0,1,89,22723977
70,1,2,19,2018.0,11.0,4.0,1,85,21687055
70,1,5,9,1999.0,11.0,1.0,1,78,15116155
70,1,2,14,2010.0,1.0,4.0,1,86,17967990
70,0,1,12,2024.0,11.0,4.0,1,89,44682383
70,1,2,5,2022.0,11.0,4.0,1,95,103251589
70,1,2,26,2025.0,9.0,4.0,1,81,25971799
70,0,1,6,2016.0,6.0,4.0,1,89,31088986
70,1,4,59,2024.0,11.0,4.0,1,89,44682383
70,1,2,36,2020.0,5.0,4.0,1,85,10381399
70,0,1,6,2005.0,1.0,5.0,0,82,6020889
70,1,2,34,1996.0,2.0,1.0,1,78,22592720
70,0,1,10,2017.0,4.0,4.0,1,89,44682383
70,1,3,49,2017.0,7.0,4.0,1,87,24492412
70,0,1,13,2017.0,11.0,3.0,1,85,10381399
70,0,1,15,2022.0,6.0,4.0,0,95,103251589
70,0,1,17,2019.0,4.0,1.0,1,82,19276073
70,1,3,10,2020.0,4.0,4.0,1,51,318752
70,1,2,16,2021.0,9.0,4.0,1,95,103251589
70,0,1,11,2025.0,2.0,4.0,1,95,103251589
70,0,1,37,2018.0,8.0,4.0,1,88,104677300
70,0,1,15,2024.0,4.0,4.0,1,82,27099455
70,0,1,8,2024.0,4.0,4.0,1,95,103251589
70,0,1,9,2009.0,5.0,4.0,1,88,104677300
70,1,3,7,2024.0,1.0,4.0,1,84,23853911
70,1,3,14,2011.0,8.0,0.0,1,83,10393555
70,1,2,4,2024.0,7.0,4.0,1,88,104677300
70,0,1,32,2025.0,8.0,4.0,1,82,17353539
70,0,1,19,2020.0,2.0,4.0,1,85,21687055
70,0,1,20,2025.0,7.0,0.0,1,87,24492412
70,1,2,7,2010.0,6.0,4.0,1,88,104677300
70,0,1,11,2016.0,6.0,4.0,1,89,31088986
70,1,2,38,2024.0,3.0,4.0,1,62,669833
70,1,2,21,2021.0,9.0,4.0,1,95,103251589
69,0,1,15,1988.0,8.0,0.0,1,63,6655056
69,0,1,11,2020.0,3.0,4.0,1,82,19276073
69,0,1,11,2010.0,6.0,4.0,1,88,104677300
69,0,1,10,2018.0,4.0,4.0,1,81,25971799
69,1,2,25,2025.0,3.0,4.0,1,86,15058026
69,1,4,48,2019.0,7.0,4.0,1,62,821864
69,1,2,21,2021.0,9.0,4.0,1,95,103251589
69,1,2,16,2012.0,1.0,6.0,1,84,34311895
69,0,1,7,2008.0,1.0,1.0,1,86,17967990
69,1,2,34,2025.0,1.0,4.0,1,79,9701600
69,0,1,11,2020.0,12.0,4.0,1,86,15058026
69,0,1,4,2011.0,10.0,0.0,1,82,17353539
69,1,2,17,2024.0,11.0,4.0,1,89,44682383
69,0,1,6,2020.0,9.0,4.0,1,85,14990942
69,0,1,14,2024.0,5.0,4.0,1,95,103251589
69,1,3,8,2024.0,2.0,4.0,1,69,1044048
69,0,1,3,2025.0,3.0,4.0,1,86,15058026
69,0,1,6,2025.0,2.0,4.0,1,83,10146489
69,0,1,6,2024.0,10.0,1.0,1,87,24492412
69,1,3,38,2024.0,8.0,4.0,1,95,103251589
69,1,2,27,2023.0,5.0,4.0,1,79,9533227
69,1,3,5,2019.0,12.0,4.0,1,62,1319380
69,1,2,44,2017.0,7.0,4.0,1,87,24492412
69,0,1,13,2018.0,12.0,3.0,1,85,14990942
69,0,1,21,2022.0,3.0,4.0,0,82,6020889
69,0,1,16,2024.0,5.0,4.0,1,89,44682383
69,0,1,16,2023.0,10.0,4.0,1,95,103251589
